#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000280	F	F	                  ok	0	1130	-4.960000	0.900000	-4.960000, 0.900000
000000281	F	F	                  ok	10	170	-4.960000	0.950000	-4.960000, 0.950000
000000282	F	F	                  ok	7	2045	-4.960000	1.000000	-4.960000, 1.000000




000000285	F	F	                  ok	7	1349	-4.960000	1.150000	-4.960000, 1.150000
000000286	F	F	                  ok	1	828	-4.960000	1.200000	-4.960000, 1.200000
000000287	F	F	                  ok	6	1866	-4.960000	1.250000	-4.960000, 1.250000
000000288	F	F	                  ok	11	107	-4.960000	1.300000	-4.960000, 1.300000
000000289	F	F	                  ok	3	604	-4.960000	1.350000	-4.960000, 1.350000
000000290	F	F	                  ok	9	1581	-4.960000	1.400000	-4.960000, 1.400000




000000293	F	F	                  ok	7	1500	-4.960000	1.550000	-4.960000, 1.550000
000000294	F	F	                  ok	4	1715	-4.960000	1.600000	-4.960000, 1.600000


000000296	F	F	                  ok	2	2073	-4.960000	1.700000	-4.960000, 1.700000
000000297	F	F	                  ok	6	1809	-4.960000	1.750000	-4.960000, 1.750000
000000298	F	F	                  ok	0	1784	-4.960000	1.800000	-4.960000, 1.800000
000000299	F	F	                  ok	4	875	-4.960000	1.850000	-4.960000, 1.850000
000000300	F	F	                  ok	1	722	-4.960000	1.900000	-4.960000, 1.900000


000000302	F	F	                  ok	5	700	-4.960000	2.000000	-4.960000, 2.000000


000000304	F	F	                  ok	4	1032	-4.940000	-2.950000	-4.940000, -2.950000
000000305	F	F	                  ok	7	1255	-4.940000	-2.900000	-4.940000, -2.900000
000000306	F	F	                  ok	2	337	-4.940000	-2.850000	-4.940000, -2.850000
000000307	F	F	                  ok	9	1228	-4.940000	-2.800000	-4.940000, -2.800000
000000308	F	F	                  ok	5	1563	-4.940000	-2.750000	-4.940000, -2.750000
000000309	F	F	                  ok	6	1405	-4.940000	-2.700000	-4.940000, -2.700000
000000310	F	F	                  ok	0	1486	-4.940000	-2.650000	-4.940000, -2.650000


000000312	F	F	                  ok	7	455	-4.940000	-2.550000	-4.940000, -2.550000
000000313	F	F	                  ok	11	1739	-4.940000	-2.500000	-4.940000, -2.500000
000000314	F	F	                  ok	2	1940	-4.940000	-2.450000	-4.940000, -2.450000
000000315	F	F	                  ok	0	779	-4.940000	-2.400000	-4.940000, -2.400000
000000316	F	F	                  ok	3	933	-4.940000	-2.350000	-4.940000, -2.350000
000000317	F	F	                  ok	6	211	-4.940000	-2.300000	-4.940000, -2.300000
000000318	F	F	                  ok	7	434	-4.940000	-2.250000	-4.940000, -2.250000
000000319	F	F	                  ok	3	451	-4.940000	-2.200000	-4.940000, -2.200000
000000320	F	F	                  ok	2	1175	-4.940000	-2.150000	-4.940000, -2.150000
000000321	F	F	                  ok	6	1239	-4.940000	-2.100000	-4.940000, -2.100000
000000322	F	F	                  ok	11	481	-4.940000	-2.050000	-4.940000, -2.050000
000000323	F	F	                  ok	11	864	-4.940000	-2.000000	-4.940000, -2.000000
000000324	F	F	                  ok	6	1571	-4.940000	-1.950000	-4.940000, -1.950000


000000326	F	F	                  ok	6	214	-4.940000	-1.850000	-4.940000, -1.850000
000000327	F	F	                  ok	5	895	-4.940000	-1.800000	-4.940000, -1.800000
000000328	F	F	                  ok	4	292	-4.940000	-1.750000	-4.940000, -1.750000
000000329	F	F	                  ok	4	515	-4.940000	-1.700000	-4.940000, -1.700000
000000330	F	F	                  ok	9	1161	-4.940000	-1.650000	-4.940000, -1.650000
000000331	F	F	                  ok	4	1261	-4.940000	-1.600000	-4.940000, -1.600000
000000332	F	F	                  ok	5	346	-4.940000	-1.550000	-4.940000, -1.550000
000000333	F	F	                  ok	11	492	-4.940000	-1.500000	-4.940000, -1.500000
000000334	F	F	                  ok	9	646	-4.940000	-1.450000	-4.940000, -1.450000
000000335	F	F	                  ok	1	244	-4.940000	-1.400000	-4.940000, -1.400000
000000336	F	F	                  ok	6	711	-4.940000	-1.350000	-4.940000, -1.350000
000000337	F	F	                  ok	11	793	-4.940000	-1.300000	-4.940000, -1.300000
000000338	F	F	                  ok	4	1768	-4.940000	-1.250000	-4.940000, -1.250000
000000339	F	F	                  ok	0	73	-4.940000	-1.200000	-4.940000, -1.200000
000000340	F	F	                  ok	11	1977	-4.940000	-1.150000	-4.940000, -1.150000
000000341	F	F	                  ok	4	1237	-4.940000	-1.100000	-4.940000, -1.100000
000000342	F	F	                  ok	6	800	-4.940000	-1.050000	-4.940000, -1.050000
000000343	F	F	                  ok	1	165	-4.940000	-1.000000	-4.940000, -1.000000


000000345	F	F	                  ok	11	958	-4.940000	-0.900000	-4.940000, -0.900000
000000346	F	F	                  ok	11	357	-4.940000	-0.850000	-4.940000, -0.850000
000000347	F	F	                  ok	1	820	-4.940000	-0.800000	-4.940000, -0.800000
000000348	F	F	                  ok	9	973	-4.940000	-0.750000	-4.940000, -0.750000
000000349	F	F	                  ok	3	807	-4.940000	-0.700000	-4.940000, -0.700000
000000350	F	F	                  ok	3	467	-4.940000	-0.650000	-4.940000, -0.650000
000000351	F	F	                  ok	4	1514	-4.940000	-0.600000	-4.940000, -0.600000


000000353	F	F	                  ok	9	231	-4.940000	-0.500000	-4.940000, -0.500000
000000354	F	F	                  ok	1	826	-4.940000	-0.450000	-4.940000, -0.450000


000000356	F	F	                  ok	4	803	-4.940000	-0.350000	-4.940000, -0.350000
000000357	F	F	                  ok	0	1	-4.940000	-0.300000	-4.940000, -0.300000
