H	H+	C+2	C+3	O+6	Si+2	Si+3
1.34896e+14	3.09259e+20	1.01752e+09	4.17866e+11	6.15571e+15	6.76411e+06	2.14300e+09
1.34896e+14	3.60836e+20	6.94800e+08	3.79012e+11	6.82926e+15	3.99730e+06	1.59764e+09
1.34896e+14	4.19930e+20	5.11518e+08	3.66891e+11	7.52462e+15	2.04449e+06	1.02295e+09
1.34896e+14	4.87446e+20	4.01851e+08	3.75299e+11	8.24012e+15	8.98125e+05	5.58518e+08
1.34896e+14	5.64465e+20	3.29777e+08	3.96792e+11	8.98083e+15	3.38160e+05	2.59551e+08
1.34896e+14	6.52196e+20	2.72040e+08	4.17483e+11	9.76056e+15	1.08994e+05	1.02596e+08
1.34896e+14	7.51973e+20	2.17513e+08	4.21179e+11	1.06025e+16	2.99897e+04	3.44246e+07
1.34896e+14	8.65181e+20	1.63128e+08	3.94234e+11	1.15306e+16	7.04382e+03	9.79992e+06
1.34896e+14	9.93464e+20	1.12788e+08	3.35646e+11	1.25475e+16	1.39524e+03	2.33892e+06
1.34896e+14	1.13870e+21	7.16715e+07	2.58693e+11	1.35876e+16	2.28114e+02	4.57964e+05
1.34896e+14	1.30305e+21	4.17420e+07	1.80602e+11	1.44634e+16	2.99399e+01	7.16405e+04
1.34896e+14	1.48896e+21	2.25189e+07	1.16183e+11	1.48510e+16	3.15691e+00	8.97258e+03
1.34896e+14	1.69917e+21	1.16196e+07	7.12901e+10	1.43877e+16	2.82498e-01	9.50956e+02
1.34896e+14	1.93675e+21	5.88208e+06	4.27572e+10	1.28884e+16	2.33223e-02	9.27114e+01
1.34896e+14	2.20543e+21	2.97034e+06	2.54596e+10	1.05468e+16	1.91503e-03	8.96387e+00
1.34896e+14	2.50935e+21	1.51037e+06	1.51930e+10	7.88610e+15	1.64056e-04	9.01836e-01
1.34896e+14	2.85320e+21	7.76931e+05	9.13346e+09	5.46443e+15	1.50858e-05	9.71585e-02
1.34896e+14	3.24254e+21	4.05220e+05	5.54889e+09	3.60412e+15	1.51143e-06	1.13805e-02
1.34896e+14	3.68377e+21	2.14347e+05	3.41023e+09	2.31008e+15	1.65883e-07	1.45760e-03
1.34896e+14	4.18423e+21	1.14997e+05	2.12157e+09	1.46672e+15	1.99339e-08	2.04083e-04
1.34896e+14	4.75230e+21	6.25939e+04	1.33702e+09	9.36629e+14	2.60931e-09	3.10836e-05
1.34896e+14	5.39778e+21	3.45583e+04	8.53562e+08	6.05897e+14	3.73424e-10	5.09682e-06
1.34896e+14	6.13192e+21	1.93466e+04	5.51962e+08	3.98939e+14	5.60608e-11	8.87738e-07
1.34896e+14	6.96776e+21	1.09757e+04	3.61446e+08	2.68092e+14	8.80877e-12	1.61655e-07
1.34896e+14	7.92041e+21	6.30385e+03	2.39502e+08	1.83935e+14	1.20384e-13	3.02370e-08
1.34896e+14	9.00732e+21	3.66048e+03	1.60411e+08	1.28726e+14	1.96489e-14	5.70307e-09
