#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000291	F	F	                  ok	9	1391	-4.960000	1.450000	-4.960000, 1.450000
000000292	F	F	                  ok	6	1312	-4.960000	1.500000	-4.960000, 1.500000
000000293	F	F	                  ok	10	1327	-4.960000	1.550000	-4.960000, 1.550000
000000294	F	F	                  ok	4	1423	-4.960000	1.600000	-4.960000, 1.600000
000000295	F	F	                  ok	1	1019	-4.960000	1.650000	-4.960000, 1.650000
000000296	F	F	                  ok	4	274	-4.960000	1.700000	-4.960000, 1.700000
000000297	F	F	                  ok	0	394	-4.960000	1.750000	-4.960000, 1.750000
000000298	F	F	                  ok	10	1701	-4.960000	1.800000	-4.960000, 1.800000
000000299	F	F	                  ok	4	1116	-4.960000	1.850000	-4.960000, 1.850000
000000300	F	F	                  ok	6	1757	-4.960000	1.900000	-4.960000, 1.900000
000000301	F	F	                  ok	0	199	-4.960000	1.950000	-4.960000, 1.950000
000000302	F	F	                  ok	6	211	-4.960000	2.000000	-4.960000, 2.000000
000000303	F	F	                  ok	10	1518	-4.940000	-3.000000	-4.940000, -3.000000
000000304	F	F	                  ok	4	994	-4.940000	-2.950000	-4.940000, -2.950000
000000305	F	F	                  ok	2	1658	-4.940000	-2.900000	-4.940000, -2.900000
000000306	F	F	                  ok	1	1320	-4.940000	-2.850000	-4.940000, -2.850000
000000307	F	F	                  ok	9	1523	-4.940000	-2.800000	-4.940000, -2.800000
000000308	F	F	                  ok	8	1913	-4.940000	-2.750000	-4.940000, -2.750000
000000309	F	F	                  ok	7	1963	-4.940000	-2.700000	-4.940000, -2.700000
000000310	F	F	                  ok	3	1416	-4.940000	-2.650000	-4.940000, -2.650000
000000311	F	F	                  ok	1	192	-4.940000	-2.600000	-4.940000, -2.600000
000000312	F	F	                  ok	6	176	-4.940000	-2.550000	-4.940000, -2.550000
000000313	F	F	                  ok	10	850	-4.940000	-2.500000	-4.940000, -2.500000
000000314	F	F	                  ok	4	1816	-4.940000	-2.450000	-4.940000, -2.450000
000000315	F	F	                  ok	2	939	-4.940000	-2.400000	-4.940000, -2.400000
000000316	F	F	                  ok	7	1983	-4.940000	-2.350000	-4.940000, -2.350000
000000317	F	F	                  ok	4	707	-4.940000	-2.300000	-4.940000, -2.300000
000000318	F	F	                  ok	9	1045	-4.940000	-2.250000	-4.940000, -2.250000
000000319	F	F	                  ok	8	799	-4.940000	-2.200000	-4.940000, -2.200000
000000320	F	F	                  ok	2	1010	-4.940000	-2.150000	-4.940000, -2.150000
000000321	F	F	                  ok	6	893	-4.940000	-2.100000	-4.940000, -2.100000
000000322	F	F	                  ok	7	1775	-4.940000	-2.050000	-4.940000, -2.050000
000000323	F	F	                  ok	1	1776	-4.940000	-2.000000	-4.940000, -2.000000
000000324	F	F	                  ok	1	939	-4.940000	-1.950000	-4.940000, -1.950000
000000325	F	F	                  ok	9	496	-4.940000	-1.900000	-4.940000, -1.900000
000000326	F	F	                  ok	9	1696	-4.940000	-1.850000	-4.940000, -1.850000
000000327	F	F	                  ok	4	985	-4.940000	-1.800000	-4.940000, -1.800000
000000328	F	F	                  ok	2	176	-4.940000	-1.750000	-4.940000, -1.750000
000000329	F	F	                  ok	7	642	-4.940000	-1.700000	-4.940000, -1.700000
000000330	F	F	                  ok	11	1097	-4.940000	-1.650000	-4.940000, -1.650000
000000331	F	F	                  ok	0	873	-4.940000	-1.600000	-4.940000, -1.600000
000000332	F	F	                  ok	4	76	-4.940000	-1.550000	-4.940000, -1.550000
000000333	F	F	                  ok	5	1230	-4.940000	-1.500000	-4.940000, -1.500000
