H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.25892e+16	5.01602e+17	5.35568e+11	5.08663e+11	1.95973e+09	0	0	5.44653e+10	6.87738e+10	2.95877e+09
1.25892e+16	5.01439e+17	5.87101e+11	5.57508e+11	2.14748e+09	0	0	5.97435e+10	7.53432e+10	3.24261e+09
1.25892e+16	5.01260e+17	6.43581e+11	6.11016e+11	2.35306e+09	0	0	6.55334e+10	8.25355e+10	3.55348e+09
1.25892e+16	5.01058e+17	7.05468e+11	6.69624e+11	2.57812e+09	0	0	7.18911e+10	9.04005e+10	3.89391e+09
1.25892e+16	5.00836e+17	7.73285e+11	7.33817e+11	2.82450e+09	0	0	7.88691e+10	9.90043e+10	4.26670e+09
1.25892e+16	5.00601e+17	8.47607e+11	8.04136e+11	3.09425e+09	0	0	8.65270e+10	1.08420e+11	4.67498e+09
1.25892e+16	5.00336e+17	9.29033e+11	8.81129e+11	3.38940e+09	0	0	9.49355e+10	1.18711e+11	5.12186e+09
1.25892e+16	5.00049e+17	1.01825e+12	9.65438e+11	3.71239e+09	0	0	1.04167e+11	1.29962e+11	5.61107e+09
1.25892e+16	4.99734e+17	1.11599e+12	1.05774e+12	4.06572e+09	0	0	1.14304e+11	1.42258e+11	6.14646e+09
1.25892e+16	4.99394e+17	1.22307e+12	1.15879e+12	4.45226e+09	0	0	1.25434e+11	1.55697e+11	6.73243e+09
1.25892e+16	4.99033e+17	1.34038e+12	1.26943e+12	4.87517e+09	0	0	1.37658e+11	1.70382e+11	7.37377e+09
1.25892e+16	4.98604e+17	1.46881e+12	1.39040e+12	5.33684e+09	0	0	1.51094e+11	1.86387e+11	8.07445e+09
1.25892e+16	4.98166e+17	1.60951e+12	1.52286e+12	5.84211e+09	0	0	1.65854e+11	2.03874e+11	8.84160e+09
1.25892e+16	4.97664e+17	1.76354e+12	1.66766e+12	6.39355e+09	0	0	1.82077e+11	2.22930e+11	9.67954e+09
1.25892e+16	4.97114e+17	1.93218e+12	1.82599e+12	6.99568e+09	0	0	1.99908e+11	2.43702e+11	1.05952e+10
1.25892e+16	4.96547e+17	2.11688e+12	1.99929e+12	7.65419e+09	0	0	2.19512e+11	2.66365e+11	1.15970e+10
1.25892e+16	4.95882e+17	2.31894e+12	2.18846e+12	8.37134e+09	0	0	2.41080e+11	2.90988e+11	1.26894e+10
1.25892e+16	4.95157e+17	2.54006e+12	2.39515e+12	9.15352e+09	0	0	2.64806e+11	3.17777e+11	1.38819e+10
1.25892e+16	4.94367e+17	2.78202e+12	2.62092e+12	1.00062e+10	0	0	2.90914e+11	3.46899e+11	1.51833e+10
1.25892e+16	4.93495e+17	3.04668e+12	2.86735e+12	1.09348e+10	0	0	3.19661e+11	3.78504e+11	1.66022e+10
1.25892e+16	4.92541e+17	3.33612e+12	3.13626e+12	1.19456e+10	0	0	3.51321e+11	4.12782e+11	1.81485e+10
1.25892e+16	4.91486e+17	3.65254e+12	3.42947e+12	1.30445e+10	0	0	3.86213e+11	4.49889e+11	1.98322e+10
1.25892e+16	4.90338e+17	3.99845e+12	3.74915e+12	1.42391e+10	0	0	4.24668e+11	4.90047e+11	2.16650e+10
1.25892e+16	4.89077e+17	4.37643e+12	4.09738e+12	1.55359e+10	0	0	4.67084e+11	5.33411e+11	2.36580e+10
1.25892e+16	4.87685e+17	4.78924e+12	4.47634e+12	1.69416e+10	0	0	5.13904e+11	5.80125e+11	2.58223e+10
1.25892e+16	4.86157e+17	5.23998e+12	4.88851e+12	1.84639e+10	0	0	5.65610e+11	6.30368e+11	2.81709e+10
1.25892e+16	4.84480e+17	5.73193e+12	5.33643e+12	2.01104e+10	0	0	6.22749e+11	6.84284e+11	3.07164e+10
1.25892e+16	4.82636e+17	6.26858e+12	5.82265e+12	2.18880e+10	0	0	6.85948e+11	7.41964e+11	3.34710e+10
1.25892e+16	4.80616e+17	6.85375e+12	6.34999e+12	2.38045e+10	0	0	7.55891e+11	8.03514e+11	3.64483e+10
1.25892e+16	4.78386e+17	7.49128e+12	6.92091e+12	2.58649e+10	0	0	8.33399e+11	8.68866e+11	3.96581e+10
1.25892e+16	4.75940e+17	8.18557e+12	7.53839e+12	2.80763e+10	0	0	9.19351e+11	9.38018e+11	4.31131e+10
1.25892e+16	4.73257e+17	8.94113e+12	8.20522e+12	3.04440e+10	0	0	1.01476e+12	1.01084e+12	4.68236e+10
1.25892e+16	4.70312e+17	9.76270e+12	8.92399e+12	3.29712e+10	0	0	1.12078e+12	1.08703e+12	5.07970e+10
1.25892e+16	4.67077e+17	1.06552e+13	9.69715e+12	3.56593e+10	0	0	1.23875e+12	1.16618e+12	5.50381e+10
1.25892e+16	4.63528e+17	1.16239e+13	1.05270e+13	3.85080e+10	0	0	1.37015e+12	1.24768e+12	5.95482e+10
1.25892e+16	4.59644e+17	1.26742e+13	1.14157e+13	4.15151e+10	0	0	1.51667e+12	1.33080e+12	6.43263e+10
1.25892e+16	4.55306e+17	1.38104e+13	1.23610e+13	4.46532e+10	0	0	1.68004e+12	1.41407e+12	6.93351e+10
1.25892e+16	4.50672e+17	1.50408e+13	1.33714e+13	4.79536e+10	0	0	1.86273e+12	1.49702e+12	7.46153e+10
1.25892e+16	4.45624e+17	1.63700e+13	1.44439e+13	5.13827e+10	0	0	2.06700e+12	1.57763e+12	8.01183e+10
1.25892e+16	4.40121e+17	1.78035e+13	1.55774e+13	5.49181e+10	0	0	2.29558e+12	1.65376e+12	8.58079e+10
1.25892e+16	4.34184e+17	1.93483e+13	1.67731e+13	5.85472e+10	0	0	2.55126e+12	1.72363e+12	9.16597e+10
1.25892e+16	4.27750e+17	2.10092e+13	1.80266e+13	6.22301e+10	0	0	2.83727e+12	1.78411e+12	9.76081e+10
1.25892e+16	4.20850e+17	2.27933e+13	1.93376e+13	6.59469e+10	0	0	3.15672e+12	1.83300e+12	1.03616e+11
1.25892e+16	4.13494e+17	2.47075e+13	2.07038e+13	6.96695e+10	0	0	3.51273e+12	1.86775e+12	1.09635e+11
1.25892e+16	4.05695e+17	2.67587e+13	2.21220e+13	7.33658e+10	0	0	3.90839e+12	1.88578e+12	1.15614e+11
1.25892e+16	3.97489e+17	2.89549e+13	2.35895e+13	7.70096e+10	0	0	4.34636e+12	1.88513e+12	1.21515e+11
