    WAVE    FLUX    ERROR   CONT
    1140.335640    7.00976e-15    1.11531e-15    7.10232e-15
    1140.365550    9.42259e-15    1.26119e-15    7.10212e-15
    1140.395460    7.67230e-15    1.18973e-15    7.10190e-15
    1140.425370    7.55638e-15    1.13534e-15    7.10169e-15
    1140.455280    6.62738e-15    1.09003e-15    7.10146e-15
    1140.485190    7.18698e-15    1.11168e-15    7.10123e-15
    1140.515100    5.00328e-15    9.80831e-16    7.10100e-15
    1140.545010    6.11148e-15    1.03021e-15    7.10075e-15
    1140.574920    4.51825e-15    1.05359e-15    7.10050e-15
    1140.604830    7.18605e-15    1.11107e-15    7.10025e-15
    1140.634740    6.19170e-15    1.13659e-15    7.09999e-15
    1140.664650    5.17882e-15    9.68827e-16    7.09972e-15
    1140.694560    6.29930e-15    1.04907e-15    7.09944e-15
    1140.724470    6.26524e-15    1.05153e-15    7.09916e-15
    1140.754380    4.69341e-15    9.21970e-16    7.09888e-15
    1140.784290    6.24263e-15    1.03775e-15    7.09858e-15
    1140.814200    6.67589e-15    1.07425e-15    7.09828e-15
    1140.844110    8.17754e-15    1.18944e-15    7.09797e-15
    1140.874020    7.31989e-15    1.19772e-15    7.09766e-15
    1140.903930    7.72878e-15    1.19703e-15    7.09734e-15
    1140.933840    5.68837e-15    1.03223e-15    7.09701e-15
    1140.963750    8.53776e-15    1.19477e-15    7.09668e-15
    1140.993660    7.29208e-15    1.17327e-15    7.09634e-15
    1141.023570    8.12606e-15    1.16218e-15    7.09599e-15
    1141.053480    7.74621e-15    1.15076e-15    7.09564e-15
    1141.083390    7.09395e-15    1.11796e-15    7.09528e-15
    1141.113300    6.09250e-15    1.00438e-15    7.09491e-15
    1141.143210    5.32783e-15    9.67783e-16    7.09454e-15
    1141.173120    7.50986e-15    1.12755e-15    7.09415e-15
    1141.203030    8.14204e-15    1.17883e-15    7.09377e-15
    1141.232940    6.92578e-15    1.10451e-15    7.09337e-15
    1141.262850    5.79611e-15    1.04835e-15    7.09297e-15
    1141.292760    6.42131e-15    1.10280e-15    7.09256e-15
    1141.322670    7.52947e-15    1.16587e-15    7.09214e-15
    1141.352580    6.97558e-15    1.11414e-15    7.09172e-15
    1141.382490    8.53240e-15    1.24439e-15    7.09128e-15
    1141.412400    6.36208e-15    1.04664e-15    7.09085e-15
    1141.442310    6.27499e-15    1.03072e-15    7.09040e-15
    1141.472220    5.17113e-15    9.71934e-16    7.08995e-15
    1141.502130    6.99933e-15    1.09939e-15    7.08948e-15
    1141.532040    9.58102e-15    1.24391e-15    7.08902e-15
    1141.561950    7.35424e-15    1.11038e-15    7.08854e-15
    1141.591860    6.85178e-15    1.09017e-15    7.08806e-15
    1141.621770    7.77606e-15    1.15602e-15    7.08756e-15
    1141.651680    8.61244e-15    1.20091e-15    7.08706e-15
    1141.681590    7.96367e-15    1.17879e-15    7.08656e-15
    1141.711500    6.29630e-15    1.08348e-15    7.08604e-15
    1141.741410    7.16814e-15    1.23380e-15    7.08552e-15
    1141.771320    8.60777e-15    1.21459e-15    7.08499e-15
    1141.801230    5.75714e-15    1.01391e-15    7.08445e-15
    1141.831140    7.69655e-15    1.15349e-15    7.08390e-15
    1141.861050    8.71852e-15    1.21243e-15    7.08335e-15
    1141.890960    7.94037e-15    1.14210e-15    7.08279e-15
    1141.920870    7.39258e-15    1.14135e-15    7.08222e-15
    1141.950780    8.32110e-15    1.18087e-15    7.08165e-15
    1141.980690    5.00593e-15    9.39191e-16    7.08106e-15
    1142.010600    7.20317e-15    1.11936e-15    7.08047e-15
    1142.040510    5.62649e-15    9.98086e-16    7.07987e-15
    1142.070420    5.73953e-15    1.03121e-15    7.07927e-15
    1142.100330    4.39625e-15    1.00726e-15    7.07866e-15
    1142.130240    7.65820e-15    1.14695e-15    7.07804e-15
    1142.160150    7.63570e-15    1.13662e-15    7.07741e-15
    1142.190060    5.26078e-15    9.47651e-16    7.07677e-15
    1142.219970    5.94067e-15    1.07172e-15    7.07613e-15
    1142.249880    5.29169e-15    1.00554e-15    7.07548e-15
    1142.279790    5.07909e-15    9.61327e-16    7.07483e-15
    1142.309700    6.12171e-15    1.02383e-15    7.07417e-15
    1142.339610    5.24194e-15    9.45034e-16    7.07350e-15
    1142.369520    5.61713e-15    1.05498e-15    7.07282e-15
    1142.399430    5.48572e-15    1.04200e-15    7.07213e-15
    1142.429340    6.00200e-15    1.05876e-15    7.07144e-15
    1142.459250    6.02872e-15    1.04440e-15    7.07074e-15
    1142.489160    7.40414e-15    1.13379e-15    7.07004e-15
    1142.519070    6.77044e-15    1.07612e-15    7.06933e-15
    1142.548980    5.66649e-15    1.10245e-15    7.06861e-15
    1142.578890    6.80329e-15    1.08925e-15    7.06788e-15
    1142.608800    7.23854e-15    1.10837e-15    7.06715e-15
    1142.638710    6.03347e-15    1.05368e-15    7.06641e-15
    1142.668620    6.65516e-15    1.15485e-15    7.06566e-15
    1142.698530    6.59708e-15    1.06291e-15    7.06490e-15
    1142.728440    6.17722e-15    1.11370e-15    7.06414e-15
    1142.758350    1.04752e-14    1.31811e-15    7.06337e-15
    1142.788260    8.01298e-15    1.14338e-15    7.06260e-15
    1142.818170    6.73811e-15    1.10222e-15    7.06182e-15
    1142.848080    7.29174e-15    1.11233e-15    7.06103e-15
    1142.877990    5.54233e-15    9.82778e-16    7.06023e-15
    1142.907900    7.35818e-15    1.14129e-15    7.05943e-15
    1142.937810    6.79196e-15    1.07983e-15    7.05862e-15
    1142.967720    4.96691e-15    1.01462e-15    7.05780e-15
    1142.997630    4.71209e-15    9.09754e-16    7.05698e-15
    1143.027540    6.74818e-15    1.05692e-15    7.05615e-15
    1143.057450    4.93334e-15    9.08811e-16    7.05531e-15
    1143.087360    3.69604e-15    8.57998e-16    7.05447e-15
    1143.117270    6.06046e-15    1.00120e-15    7.05361e-15
    1143.147180    3.35537e-15    8.16469e-16    7.05275e-15
    1143.177090    3.14132e-15    7.88483e-16    7.05189e-15
    1143.207000    5.27552e-15    9.42569e-16    7.05102e-15
    1143.236910    5.30548e-15    1.03135e-15    7.05014e-15
    1143.266820    6.38467e-15    1.04238e-15    7.04925e-15
    1143.296730    6.77731e-15    1.05244e-15    7.04836e-15
    1143.326640    4.69637e-15    9.04677e-16    7.04746e-15
    1143.356550    6.15678e-15    1.04035e-15    7.04655e-15
    1143.386460    5.17144e-15    9.74596e-16    7.04563e-15
    1143.416370    4.46847e-15    8.65944e-16    7.04471e-15
    1143.446280    6.40884e-15    1.03897e-15    7.04378e-15
    1143.476190    7.26610e-15    1.08023e-15    7.04285e-15
    1143.506100    6.43969e-15    1.06905e-15    7.04190e-15
    1143.536010    6.05238e-15    1.04777e-15    7.04095e-15
    1143.565920    8.28925e-15    1.16692e-15    7.04000e-15
    1143.595830    8.19956e-15    1.14755e-15    7.03903e-15
    1143.625740    5.82296e-15    9.81997e-16    7.03806e-15
    1143.655650    7.76277e-15    1.11733e-15    7.03708e-15
    1143.685560    6.44356e-15    1.05702e-15    7.03609e-15
    1143.715470    6.52341e-15    1.03601e-15    7.03510e-15
    1143.745380    7.25983e-15    1.07689e-15    7.03410e-15
    1143.775290    5.12996e-15    1.01256e-15    7.03309e-15
    1143.805200    7.38137e-15    1.12506e-15    7.03208e-15
    1143.835110    5.13798e-15    1.07426e-15    7.03105e-15
    1143.865020    5.43847e-15    9.67831e-16    7.03002e-15
    1143.894930    5.97012e-15    1.02156e-15    7.02898e-15
    1143.924840    7.98641e-15    1.14231e-15    7.02794e-15
    1143.954750    6.38937e-15    1.00675e-15    7.02688e-15
    1143.984660    8.14640e-15    1.13027e-15    7.02582e-15
    1144.014570    7.76867e-15    1.11392e-15    7.02476e-15
    1144.044480    8.16071e-15    1.13915e-15    7.02368e-15
    1144.074390    7.03223e-15    1.07911e-15    7.02260e-15
    1144.104300    5.36762e-15    9.54288e-16    7.02150e-15
    1144.134210    6.00534e-15    1.01414e-15    7.02040e-15
    1144.164120    7.38890e-15    1.09408e-15    7.01930e-15
    1144.194030    7.58188e-15    1.09983e-15    7.01818e-15
    1144.223940    7.42674e-15    1.11016e-15    7.01706e-15
    1144.253850    6.01812e-15    9.79082e-16    7.01593e-15
    1144.283760    6.47704e-15    1.00596e-15    7.01479e-15
    1144.313670    9.33483e-15    1.22351e-15    7.01364e-15
    1144.343580    9.37552e-15    1.20803e-15    7.01249e-15
    1144.373490    7.35242e-15    1.07451e-15    7.01133e-15
    1144.403400    7.71143e-15    1.12174e-15    7.01015e-15
    1144.433310    7.57709e-15    1.10404e-15    7.00898e-15
    1144.463220    7.66625e-15    1.10366e-15    7.00779e-15
    1144.493130    5.91459e-15    1.07313e-15    7.00659e-15
    1144.523040    8.04794e-15    1.13162e-15    7.00539e-15
    1144.552950    6.65687e-15    1.03247e-15    7.00417e-15
    1144.582860    5.03220e-15    9.57354e-16    7.00295e-15
    1144.612770    5.30296e-15    9.34097e-16    7.00172e-15
    1144.642680    4.12671e-15    8.75238e-16    7.00048e-15
    1144.672590    4.65538e-15    8.74326e-16    6.99924e-15
    1144.702500    3.53984e-15    7.97501e-16    6.99798e-15
    1144.732410    2.26729e-15    7.12999e-16    6.99671e-15
    1144.762320    1.59576e-15    5.99568e-16    6.99544e-15
    1144.792230    2.31194e-15    6.66931e-16    6.99416e-15
    1144.822140    2.33590e-15    7.00070e-16    6.99286e-15
    1144.852050    1.05607e-15    5.43390e-16    6.99156e-15
    1144.881960    1.83906e-15    6.49957e-16    6.99025e-15
    1144.911870    2.23063e-15    6.49050e-16    6.98893e-15
    1144.941780    3.00559e-15    7.25850e-16    6.98760e-15
    1144.971690    4.99273e-15    9.17973e-16    6.98627e-15
    1145.001600    4.48713e-15    8.70663e-16    6.98492e-15
    1145.031510    7.89324e-15    1.11424e-15    6.98356e-15
    1145.061420    7.55089e-15    1.10460e-15    6.98219e-15
    1145.091330    5.36491e-15    9.39304e-16    6.98082e-15
    1145.121240    5.11188e-15    9.16208e-16    6.97943e-15
    1145.151150    6.74319e-15    1.05457e-15    6.97803e-15
    1145.181060    6.48167e-15    1.02361e-15    6.97663e-15
    1145.210970    7.32188e-15    1.09251e-15    6.97521e-15
    1145.240880    6.51772e-15    1.03296e-15    6.97378e-15
    1145.270790    5.16145e-15    9.37397e-16    6.97235e-15
    1145.300700    6.35057e-15    1.04218e-15    6.97090e-15
    1145.330610    7.81685e-15    1.13788e-15    6.96944e-15
    1145.360520    6.40463e-15    1.05104e-15    6.96798e-15
    1145.390430    7.17131e-15    1.07098e-15    6.96650e-15
    1145.420340    8.78515e-15    1.19009e-15    6.96501e-15
    1145.450250    5.51567e-15    9.88491e-16    6.96351e-15
    1145.480160    8.85772e-15    1.17167e-15    6.96200e-15
    1145.510070    5.78539e-15    9.88232e-16    6.96047e-15
    1145.539980    7.34918e-15    1.11664e-15    6.95894e-15
    1145.569890    7.19908e-15    1.06844e-15    6.95740e-15
    1145.599800    5.64103e-15    9.66096e-16    6.95584e-15
    1145.629710    4.80733e-15    9.10217e-16    6.95427e-15
    1145.659620    6.26901e-15    1.02752e-15    6.95270e-15
    1145.689530    7.80409e-15    1.11415e-15    6.95111e-15
    1145.719440    6.57851e-15    1.05632e-15    6.94950e-15
    1145.749350    8.45331e-15    1.14104e-15    6.94789e-15
