#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	grid parameter string
000000146	F	F	                  ok	10	7	-2.080000	-2.080000
000000147	F	F	                  ok	10	16	-2.060000	-2.060000
000000148	F	F	                  ok	10	0	-2.040000	-2.040000
000000149	F	F	                  ok	9	20	-2.020000	-2.020000
000000150	F	F	                  ok	0	9	-2.000000	-2.000000
000000151	F	F	                  ok	11	15	-1.980000	-1.980000
000000152	F	F	                  ok	10	4	-1.960000	-1.960000
000000153	F	F	                  ok	8	14	-1.940000	-1.940000
000000154	F	F	                  ok	1	20	-1.920000	-1.920000
000000155	F	F	                  ok	8	2	-1.900000	-1.900000
000000156	F	F	                  ok	5	15	-1.880000	-1.880000
000000157	F	F	                  ok	7	16	-1.860000	-1.860000
000000158	F	F	                  ok	5	19	-1.840000	-1.840000
000000159	F	F	                  ok	9	18	-1.820000	-1.820000
000000160	F	F	                  ok	2	13	-1.800000	-1.800000
000000161	F	F	                  ok	5	0	-1.780000	-1.780000
000000162	F	F	                  ok	9	23	-1.760000	-1.760000
000000163	F	F	                  ok	0	13	-1.740000	-1.740000
000000164	F	F	                  ok	7	6	-1.720000	-1.720000
000000165	F	F	                  ok	2	9	-1.700000	-1.700000
000000166	F	F	                  ok	7	19	-1.680000	-1.680000
000000167	F	F	                  ok	6	19	-1.660000	-1.660000
000000168	F	F	                  ok	5	3	-1.640000	-1.640000
000000169	F	F	                  ok	1	24	-1.620000	-1.620000
000000170	F	F	                  ok	8	5	-1.600000	-1.600000
000000171	F	F	                  ok	11	8	-1.580000	-1.580000
000000172	F	F	                  ok	7	23	-1.560000	-1.560000
000000173	F	F	                  ok	2	1	-1.540000	-1.540000
000000174	F	F	                  ok	6	9	-1.520000	-1.520000
000000175	F	F	                  ok	11	20	-1.500000	-1.500000
000000176	F	F	                  ok	5	7	-1.480000	-1.480000
000000177	F	F	                  ok	8	10	-1.460000	-1.460000
000000178	F	F	                  ok	3	14	-1.440000	-1.440000
