#depth	Te	cC/dT	dt/dr	d^2T/dr^2
5.88752e+25	8.5427e+03	-1.29e-37	-1.76e-21	-7.41e-46
5.90287e+25	8.4656e+03	-1.33e-37	-5.30e-22	8.46e-45
5.91961e+25	8.3096e+03	-1.42e-37	-8.25e-22	-1.56e-45
5.94137e+25	8.1378e+03	-1.51e-37	-6.98e-22	5.15e-46
5.96966e+25	7.8752e+03	-1.65e-37	-8.21e-22	-3.85e-46
6.00004e+25	7.6665e+03	-1.77e-37	-7.25e-22	3.33e-46
6.03028e+25	7.3923e+03	-1.94e-37	-8.65e-22	-4.40e-46
6.05895e+25	7.1945e+03	-2.06e-37	-7.71e-22	3.65e-46
6.08576e+25	6.9264e+03	-2.23e-37	-9.58e-22	-6.67e-46
6.11059e+25	6.7465e+03	-2.35e-37	-8.29e-22	5.93e-46
6.13364e+25	6.4827e+03	-2.54e-37	-1.08e-21	-1.03e-45
6.15483e+25	6.3227e+03	-2.66e-37	-8.89e-22	1.07e-45
6.17449e+25	6.0600e+03	-2.86e-37	-1.23e-21	-1.61e-45
6.19253e+25	5.9154e+03	-2.97e-37	-9.80e-22	1.71e-45
6.20896e+25	5.6655e+03	-3.18e-37	-1.38e-21	-2.21e-45
6.22418e+25	5.5461e+03	-3.28e-37	-9.70e-22	3.33e-45
6.23834e+25	5.2808e+03	-3.51e-37	-1.66e-21	-4.29e-45
6.25113e+25	5.1824e+03	-3.61e-37	-1.03e-21	6.57e-45
6.26212e+25	4.9472e+03	-3.83e-37	-1.89e-21	-6.94e-45
6.27226e+25	4.9045e+03	-3.88e-37	-5.45e-22	1.72e-44
6.28128e+25	4.6793e+03	-4.10e-37	-2.21e-21	-1.63e-44
6.28956e+25	4.6402e+03	-4.15e-37	-6.15e-22	2.51e-44
6.29687e+25	4.4444e+03	-4.36e-37	-2.37e-21	-2.12e-44
6.30382e+25	4.4026e+03	-4.40e-37	-7.43e-22	2.89e-44
6.31029e+25	4.2431e+03	-4.59e-37	-2.18e-21	-1.96e-44
