# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+2 C+3 O+6 Si+2 Si+3 log_nH parameters
1.25892e+16 1.86231e+17 1417540000000.0 1057040000.0 0.0 160688000000.0 2978760000.0 -1.54 [-1.54]
1.25892e+16 1.77907e+17 1313060000000.0 904913000.0 0.0 147593000000.0 2629010000.0 -1.52 [-1.52]
1.25892e+16 1.6993e+17 1215580000000.0 774284000.0 0.0 135470000000.0 2319560000.0 -1.5 [-1.5]
1.25892e+16 1.62334e+17 1125270000000.0 662683000.0 0.0 124313000000.0 2047140000.0 -1.48 [-1.48]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.48218e+17 964246000000.0 485915000.0 0.0 104637000000.0 1596250000.0 -1.44 [-1.44]
1.25892e+16 1.41661e+17 892594000000.0 416322000.0 0.0 95979600000.0 1410360000.0 -1.42 [-1.42]
1.25892e+16 1.35416e+17 826296000000.0 356851000.0 0.0 88032900000.0 1246660000.0 -1.4 [-1.4]
1.25892e+16 1.29472e+17 764997000000.0 306037000.0 0.0 80750100000.0 1102530000.0 -1.38 [-1.38]
1.25892e+16 1.23809e+17 708291000000.0 262588000.0 0.0 74066700000.0 975534000.0 -1.36 [-1.36]
1.25892e+16 1.18408e+17 655785000000.0 225399000.0 0.0 67930500000.0 863518000.0 -1.34 [-1.34]
1.25892e+16 1.1328e+17 607392000000.0 193655000.0 0.0 62338500000.0 765000000.0 -1.32 [-1.32]
1.25892e+16 1.08364e+17 562391000000.0 166382000.0 0.0 57158100000.0 677760000.0 -1.3 [-1.3]
1.25892e+16 1.03711e+17 521055000000.0 143138000.0 0.0 52465400000.0 601153000.0 -1.28 [-1.28]
1.25892e+16 9.92676e+16 482777000000.0 123202000.0 0.0 48144500000.0 533449000.0 -1.26 [-1.26]
1.25892e+16 9.50345e+16 447405000000.0 106123000.0 0.0 44192800000.0 473685000.0 -1.24 [-1.24]
1.25892e+16 9.09986e+16 414702000000.0 91477100.0 0.0 40574200000.0 420884000.0 -1.22 [-1.22]
1.25892e+16 8.71214e+16 384240000000.0 78848200.0 0.0 37242000000.0 373991000.0 -1.2 [-1.2]
1.25892e+16 8.34736e+16 356457000000.0 68109800.0 0.0 34227000000.0 332893000.0 -1.18 [-1.18]
1.25892e+16 7.99606e+16 330524000000.0 58825100.0 0.0 31438000000.0 296298000.0 -1.16 [-1.16]
1.25892e+16 7.66276e+16 306674000000.0 50875800.0 0.0 28897700000.0 264018000.0 -1.14 [-1.14]
1.25892e+16 7.34486e+16 284627000000.0 44040100.0 0.0 26571300000.0 235429000.0 -1.12 [-1.12]
1.25892e+16 7.04219e+16 264279000000.0 38164600.0 0.0 24448000000.0 210122000.0 -1.1 [-1.1]
1.25892e+16 6.75303e+16 245439000000.0 33100200.0 0.0 22498100000.0 187662000.0 -1.08 [-1.08]
1.25892e+16 6.47717e+16 228020000000.0 28736200.0 0.0 20712500000.0 167735000.0 -1.06 [-1.06]
1.25892e+16 6.21396e+16 211911000000.0 24972600.0 0.0 19076900000.0 150045000.0 -1.04 [-1.04]
1.25892e+16 5.96367e+16 197066000000.0 21732000.0 0.0 17580200000.0 134364000.0 -1.02 [-1.02]
1.25892e+16 5.72407e+16 183288000000.0 18926100.0 0.0 16209400000.0 120395000.0 -1.0 [-1.0]
1.25892e+16 5.49528e+16 170535000000.0 16499700.0 0.0 14950800000.0 107967000.0 -0.98 [-0.98]
