#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	grid parameter string
000000286	F	F	                  ok	1	36	0.720000	0.720000
000000287	F	F	                  ok	1	20	0.740000	0.740000
000000288	F	F	                  ok	1	2	0.760000	0.760000
000000289	F	F	                  ok	1	7	0.780000	0.780000
000000290	F	F	                  ok	3	16	0.800000	0.800000
000000291	F	F	                  ok	4	23	0.820000	0.820000
000000292	F	F	                  ok	5	36	0.840000	0.840000
000000293	F	F	                  ok	6	41	0.860000	0.860000
000000294	F	F	                  ok	3	29	0.880000	0.880000
000000295	F	F	                  ok	2	39	0.900000	0.900000
000000296	F	F	                  ok	5	6	0.920000	0.920000
000000297	F	F	                  ok	3	12	0.940000	0.940000
000000298	F	F	                  ok	5	41	0.960000	0.960000
000000299	F	F	                  ok	5	9	0.980000	0.980000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000301	F	F	                  ok	4	11	1.020000	1.020000
000000302	F	F	                  ok	2	34	1.040000	1.040000
000000303	F	F	                  ok	3	14	1.060000	1.060000
000000304	F	F	                  ok	2	38	1.080000	1.080000
000000305	F	F	                  ok	3	2	1.100000	1.100000
000000306	F	F	                  ok	1	35	1.120000	1.120000
000000307	F	F	                  ok	0	9	1.140000	1.140000
000000308	F	F	                  ok	5	15	1.160000	1.160000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000311	F	F	                  ok	4	33	1.220000	1.220000
000000312	F	F	                  ok	2	6	1.240000	1.240000
000000313	F	F	                  ok	3	3	1.260000	1.260000
000000314	F	F	                  ok	2	17	1.280000	1.280000
000000315	F	F	                  ok	0	30	1.300000	1.300000
000000316	F	F	                  ok	2	26	1.320000	1.320000
000000317	F	F	                  ok	6	24	1.340000	1.340000
000000318	F	F	                  ok	5	3	1.360000	1.360000
000000319	F	F	                  ok	3	23	1.380000	1.380000
000000320	F	F	                  ok	2	41	1.400000	1.400000
000000321	F	F	                  ok	5	16	1.420000	1.420000
000000322	F	F	                  ok	4	27	1.440000	1.440000
000000323	F	F	                  ok	0	11	1.460000	1.460000
000000324	F	F	                  ok	0	2	1.480000	1.480000
000000325	F	F	                  ok	2	12	1.500000	1.500000
000000326	F	F	                  ok	2	5	1.520000	1.520000
000000327	F	F	                  ok	0	6	1.540000	1.540000
000000328	F	F	                  ok	2	3	1.560000	1.560000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000331	F	F	                  ok	1	3	1.620000	1.620000
000000332	F	F	                  ok	6	28	1.640000	1.640000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000334	F	F	                  ok	1	41	1.680000	1.680000
000000335	F	F	                  ok	2	29	1.700000	1.700000
000000336	F	F	                  ok	4	43	1.720000	1.720000
000000337	F	F	                  ok	0	24	1.740000	1.740000
000000338	F	F	                  ok	4	35	1.760000	1.760000
000000339	F	F	                  ok	6	11	1.780000	1.780000
000000340	F	F	                  ok	1	23	1.800000	1.800000
000000341	F	F	                  ok	6	21	1.820000	1.820000
000000342	F	F	                  ok	2	20	1.840000	1.840000
000000343	F	F	                  ok	3	28	1.860000	1.860000
000000344	F	F	                  ok	3	40	1.880000	1.880000
000000345	F	F	                  ok	6	6	1.900000	1.900000
000000346	F	F	                  ok	2	4	1.920000	1.920000
000000347	F	F	                  ok	2	16	1.940000	1.940000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000349	F	F	                  ok	3	15	1.980000	1.980000
000000350	F	F	                  ok	6	25	2.000000	2.000000
