#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000199	F	F	                  ok	3	1839	-4.980000	1.900000	-4.980000, 1.900000
000000200	F	F	                  ok	1	264	-4.980000	1.950000	-4.980000, 1.950000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000202	F	F	                  ok	2	1890	-4.960000	-3.000000	-4.960000, -3.000000
000000203	F	F	                  ok	9	652	-4.960000	-2.950000	-4.960000, -2.950000
000000204	F	F	                  ok	11	658	-4.960000	-2.900000	-4.960000, -2.900000
000000205	F	F	                  ok	8	1163	-4.960000	-2.850000	-4.960000, -2.850000
000000206	F	F	                  ok	11	2042	-4.960000	-2.800000	-4.960000, -2.800000
000000207	F	F	                  ok	10	61	-4.960000	-2.750000	-4.960000, -2.750000
000000208	F	F	                  ok	2	1813	-4.960000	-2.700000	-4.960000, -2.700000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000210	F	F	                  ok	0	1474	-4.960000	-2.600000	-4.960000, -2.600000
000000211	F	F	                  ok	11	605	-4.960000	-2.550000	-4.960000, -2.550000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000214	F	F	                  ok	3	1319	-4.960000	-2.400000	-4.960000, -2.400000
000000215	F	F	                  ok	3	194	-4.960000	-2.350000	-4.960000, -2.350000
000000216	F	F	                  ok	3	2057	-4.960000	-2.300000	-4.960000, -2.300000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000218	F	F	                  ok	2	1773	-4.960000	-2.200000	-4.960000, -2.200000
000000219	F	F	                  ok	0	946	-4.960000	-2.150000	-4.960000, -2.150000
000000220	F	F	                  ok	1	477	-4.960000	-2.100000	-4.960000, -2.100000
000000221	F	F	                  ok	0	1808	-4.960000	-2.050000	-4.960000, -2.050000
000000222	F	F	                  ok	3	1314	-4.960000	-2.000000	-4.960000, -2.000000
000000223	F	F	                  ok	11	171	-4.960000	-1.950000	-4.960000, -1.950000
000000224	F	F	                  ok	4	173	-4.960000	-1.900000	-4.960000, -1.900000
000000225	F	F	                  ok	11	1215	-4.960000	-1.850000	-4.960000, -1.850000
000000226	F	F	                  ok	11	764	-4.960000	-1.800000	-4.960000, -1.800000
000000227	F	F	                  ok	5	2060	-4.960000	-1.750000	-4.960000, -1.750000
000000228	F	F	                  ok	10	1113	-4.960000	-1.700000	-4.960000, -1.700000
000000229	F	F	                  ok	8	709	-4.960000	-1.650000	-4.960000, -1.650000
000000230	F	F	                  ok	11	1329	-4.960000	-1.600000	-4.960000, -1.600000
000000231	F	F	                  ok	2	1931	-4.960000	-1.550000	-4.960000, -1.550000
000000232	F	F	                  ok	6	337	-4.960000	-1.500000	-4.960000, -1.500000
000000233	F	F	                  ok	8	1120	-4.960000	-1.450000	-4.960000, -1.450000
000000234	F	F	                  ok	9	954	-4.960000	-1.400000	-4.960000, -1.400000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000236	F	F	                  ok	2	1425	-4.960000	-1.300000	-4.960000, -1.300000
000000237	F	F	                  ok	9	457	-4.960000	-1.250000	-4.960000, -1.250000
000000238	F	F	                  ok	10	1816	-4.960000	-1.200000	-4.960000, -1.200000
000000239	F	F	                  ok	9	790	-4.960000	-1.150000	-4.960000, -1.150000
000000240	F	F	                  ok	0	269	-4.960000	-1.100000	-4.960000, -1.100000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000242	F	F	                  ok	3	1610	-4.960000	-1.000000	-4.960000, -1.000000
000000243	F	F	                  ok	3	115	-4.960000	-0.950000	-4.960000, -0.950000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000245	F	F	                  ok	3	1800	-4.960000	-0.850000	-4.960000, -0.850000
000000246	F	F	                  ok	2	1448	-4.960000	-0.800000	-4.960000, -0.800000
000000247	F	F	                  ok	8	1433	-4.960000	-0.750000	-4.960000, -0.750000
000000248	F	F	                  ok	0	114	-4.960000	-0.700000	-4.960000, -0.700000
000000249	F	F	                  ok	2	808	-4.960000	-0.650000	-4.960000, -0.650000
000000250	F	F	                  ok	0	605	-4.960000	-0.600000	-4.960000, -0.600000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000252	F	F	                  ok	2	278	-4.960000	-0.500000	-4.960000, -0.500000
000000253	F	F	                  ok	5	1058	-4.960000	-0.450000	-4.960000, -0.450000
000000254	F	F	                  ok	11	877	-4.960000	-0.400000	-4.960000, -0.400000
000000255	F	F	                  ok	8	480	-4.960000	-0.350000	-4.960000, -0.350000
000000256	F	F	                  ok	11	1130	-4.960000	-0.300000	-4.960000, -0.300000
000000257	F	F	                  ok	7	579	-4.960000	-0.250000	-4.960000, -0.250000
000000258	F	F	                  ok	9	1015	-4.960000	-0.200000	-4.960000, -0.200000
000000259	F	F	                  ok	10	1495	-4.960000	-0.150000	-4.960000, -0.150000
000000260	F	F	                  ok	0	804	-4.960000	-0.100000	-4.960000, -0.100000
000000261	F	F	                  ok	10	1183	-4.960000	-0.050000	-4.960000, -0.050000
000000262	F	F	                  ok	1	1550	-4.960000	0.000000	-4.960000, 0.000000
000000263	F	F	                  ok	1	204	-4.960000	0.050000	-4.960000, 0.050000
000000264	F	F	                  ok	11	1014	-4.960000	0.100000	-4.960000, 0.100000
000000265	F	F	                  ok	1	1687	-4.960000	0.150000	-4.960000, 0.150000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000267	F	F	                  ok	1	345	-4.960000	0.250000	-4.960000, 0.250000
