# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in F10_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	 
100019683	VVDS-J100646.22+010152.2	151.692616	1.0311726	0.4624	1	22.2192	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.2192	0.048
100019710	VVDS-J100725.88+010154.6	151.857873	1.0318377	1.1393	2	22.2826	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.2826	0.0429
100019713	VVDS-J100609.76+010153.1	151.540696	1.0314231	9.9999	0	22.457	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.457	0.0416
100019722	VVDS-J100748.18+010143.6	151.950763	1.028786	0.4309	3	20.7827	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.7827	0.0183
100019757	VVDS-J100726.53+010154.3	151.86055	1.0317642	0.8045	2	21.7435	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.7435	0.0261
100019838	VVDS-J100409.73+010157.1	151.040549	1.0325292	0.9688	9	22.4695	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.4695	0.0361
100019863	VVDS-J100544.24+010152.9	151.434344	1.0313726	0.6220	1	22.1373	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.1373	0.0327
100019906	VVDS-J100450.07+010152.6	151.208639	1.0312898	0.6642	2	21.805	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.805	0.0337
100019945	VVDS-J100310.52+010154.7	150.793837	1.0318776	0.6561	3	21.0325	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.0325	0.0195
100019952	VVDS-J100344.58+010159.5	150.935757	1.0332148	0.4167	1	22.3684	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.3684	0.0417
100019997	VVDS-J100607.94+010153.2	151.533093	1.0314518	0.9275	3	21.4354	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.4354	0.0169
100019999	VVDS-J100739.94+010149.6	151.916453	1.0304675	0.4304	3	19.7673	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	19.7673	0.0079
100020042	VVDS-J100725.65+010155.1	151.856891	1.031987	0.5920	21	21.5029	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.5029	0.0262
100020048	VVDS-J100403.01+010159.3	151.012549	1.0331449	0.4544	2	22.476	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.476	0.0375
100020051	VVDS-J100335.77+010157.5	150.899044	1.0326661	0.4739	3	21.2017	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.2017	0.0237
100020060	VVDS-J100659.08+010159.4	151.746169	1.0331796	9.9999	0	22.4388	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.4388	0.0505
100020107	VVDS-J100549.80+010152.0	151.457525	1.0311324	0.4527	2	20.8538	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.8538	0.0121
100020173	VVDS-J100629.98+010155.8	151.624926	1.0321679	0.4500	3	21.6193	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	21.6193	0.0248
100020215	VVDS-J100252.03+010154.4	150.716833	1.0317983	0.3099	2	20.7654	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.7654	0.0217
100020238	VVDS-J100627.16+010157.6	151.613169	1.0326835	0.4510	3	21.137	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.137	0.0181
100020341	VVDS-J100616.48+010203.7	151.56867	1.0343627	0.2088	21	23.6983	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	23.6983	0.0871
100020380	VVDS-J100342.23+010203.9	150.925963	1.0344231	0.8203	2	22.21	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.21	0.0513
