Z_SYS,DELTAV_SYS,WAVELENGTH,LINE_ID,z_ABS,SIGLEVEL,S/N,EQW,EQW_ERR,BVALUE,BVALUE_ERR,LOGN_lower_limit,LOGN,LOGN_ERR,FLAG_FIT,LCOD,NUM_SYS_LINES,NUM_METAL_LINES
0.41716,30,1722.77,Lya 1215,0.41716,20.6,16,238,11,45,2.8,0,13.78,0.02,0,1,3,0
0.41716,30,1453.64,Lyb 1025,0.417206,5.7,24,39,13,42.5,11.8,0,13.75,0.11,0,0,3,0
0.41716,30,1378.2,Lyc 972,0.417115,3.7,17,30,14,39.5,12.6,0,14.12,0.16,0,0,3,0
0.420509,30,1726.84,Lya 1215,0.420509,9,17,118,33,63.9,9.3,0,13.38,0.1,0,0,1,0
0.42188,33,1728.52,Lya 1215,0.42189,47.5,16,552,22,45.7,1.6,1,14.57,0.04,1,6,10,4
0.42188,33,1458.47,Lyb 1025,0.421899,35.2,21,242,6,32.1,1,0,14.82,0.01,0,2,10,4
0.42188,33,1382.8,Lyc 972,0.421853,23.3,20,139,30,28.6,5,0,14.93,0.1,0,1,10,4
0.42188,33,1350.43,Lyd 949,0.421888,9.2,17,62,9,26.9,3.6,0,14.82,0.06,0,0,10,4
0.42188,33,1333.47,Lye 937,0.421907,8.2,19,54,13,32.7,8.8,0,15,0.09,0,0,10,4
0.42188,33,1312.63,Ly8 923,0.421902,3,17,16,12,15.6,11.1,1,15.02,0.25,0,9,10,4
0.42188,33,1467.32,OVI 1032,0.421923,24.1,21,151,7,25.8,1.5,0,14.29,0.02,0,1,10,4
0.42188,33,1475.39,OVI 1038,0.421922,15,22,98,10,31.4,2.9,0,14.29,0.04,0,0,10,4
0.42188,33,1184.35,OIII 832,0.421913,6,15,29,7,8.4,3.6,0,13.78,0.11,0,0,10,4
0.42188,33,1389.2,CIII 977,0.421875,16.9,18,84,6,14.2,1.5,0,13.35,0.04,0,1,10,4
