# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Te parameters
1.1749e+16 1.24613e+19 12282600000000.0 234612000000000.0 62294900000000.0 1944360000000.0 136993000000.0 695382000000.0 13343400000000.0 8005660000000.0 -3.26 4.292 [-3.26]
1.1749e+16 1.18385e+19 12321400000000.0 225955000000000.0 57380600000000.0 1647710000000.0 111284000000.0 709370000000.0 13365900000000.0 7785380000000.0 -3.24 4.289 [-3.24]
1.1749e+16 1.12467e+19 12353300000000.0 217443000000000.0 52790800000000.0 1394040000000.0 90239100000.0 722217000000.0 13352800000000.0 7550900000000.0 -3.22 4.285 [-3.22]
1.1749e+16 1.06847e+19 12378700000000.0 209092000000000.0 48510600000000.0 1177490000000.0 73044400000.0 733927000000.0 13305200000000.0 7304350000000.0 -3.2 4.282 [-3.2]
1.1749e+16 1.01507e+19 12397900000000.0 200912000000000.0 44523300000000.0 992877000000.0 59017200000.0 744530000000.0 13224400000000.0 7047710000000.0 -3.18 4.279 [-3.18]
1.1749e+16 9.64333e+18 12411200000000.0 192912000000000.0 40815200000000.0 835780000000.0 47595900000.0 754048000000.0 13112100000000.0 6783170000000.0 -3.16 4.276 [-3.16]
1.1749e+16 9.16139e+18 12418900000000.0 185102000000000.0 37371500000000.0 702316000000.0 38313700000.0 762532000000.0 12970400000000.0 6512740000000.0 -3.14 4.272 [-3.14]
1.1749e+16 8.70356e+18 12421100000000.0 177487000000000.0 34177600000000.0 589125000000.0 30783800000.0 770031000000.0 12801200000000.0 6238420000000.0 -3.12 4.269 [-3.12]
1.1749e+16 8.26772e+18 12416200000000.0 170054000000000.0 31217700000000.0 493183000000.0 24678900000.0 776543000000.0 12604700000000.0 5962440000000.0 -3.1 4.266 [-3.1]
1.1749e+16 7.85471e+18 12408400000000.0 162849000000000.0 28482200000000.0 412217000000.0 19754100000.0 782271000000.0 12387700000000.0 5685720000000.0 -3.08 4.263 [-3.08]
1.1749e+16 7.46237e+18 12395900000000.0 155853000000000.0 25955300000000.0 343910000000.0 15781700000.0 787211000000.0 12150200000000.0 5410320000000.0 -3.06 4.259 [-3.06]
1.1749e+16 7.08986e+18 12378900000000.0 149070000000000.0 23624900000000.0 286405000000.0 12585000000.0 791443000000.0 11895200000000.0 5137660000000.0 -3.04 4.256 [-3.04]
1.1749e+16 6.7361e+18 12357500000000.0 142500000000000.0 21478500000000.0 238078000000.0 10016900000.0 795025000000.0 11624600000000.0 4869200000000.0 -3.02 4.253 [-3.02]
1.17489e+16 6.39954e+18 12330800000000.0 136130000000000.0 19502400000000.0 197494000000.0 7955540000.0 798026000000.0 11339500000000.0 4605940000000.0 -3.0 4.25 [-3.0]
1.17489e+16 6.08008e+18 12300500000000.0 129975000000000.0 17687000000000.0 163523000000.0 6306750000.0 800550000000.0 11043900000000.0 4348790000000.0 -2.98 4.246 [-2.98]
1.17489e+16 5.77664e+18 12266100000000.0 124030000000000.0 16021100000000.0 135132000000.0 4989970000.0 802652000000.0 10739400000000.0 4098660000000.0 -2.96 4.243 [-2.96]
1.17489e+16 5.48843e+18 12227800000000.0 118293000000000.0 14494400000000.0 111452000000.0 3940530000.0 804398000000.0 10428000000000.0 3856240000000.0 -2.94 4.24 [-2.94]
1.17489e+16 5.21468e+18 12185700000000.0 112761000000000.0 13097100000000.0 91738300000.0 3105780000.0 805851000000.0 10111500000000.0 3622080000000.0 -2.92 4.237 [-2.92]
1.17489e+16 4.9547e+18 12139800000000.0 107431000000000.0 11820000000000.0 75361100000.0 2443200000.0 807067000000.0 9791830000000.0 3396600000000.0 -2.9 4.233 [-2.9]
1.17489e+16 4.70748e+18 12089400000000.0 102294000000000.0 10653800000000.0 61774300000.0 1917940000.0 808107000000.0 9469420000000.0 3180340000000.0 -2.88 4.23 [-2.88]
1.17489e+16 4.47293e+18 12036100000000.0 97358200000000.0 9590970000000.0 50538500000.0 1502960000.0 809011000000.0 9147510000000.0 2973140000000.0 -2.86 4.227 [-2.86]
1.17489e+16 4.25009e+18 11979000000000.0 92611600000000.0 8623300000000.0 41259500000.0 1175490000.0 809824000000.0 8826380000000.0 2775310000000.0 -2.84 4.223 [-2.84]
1.17489e+16 4.03849e+18 11918400000000.0 88053200000000.0 7743640000000.0 33614600000.0 917669000.0 810579000000.0 8507500000000.0 2586860000000.0 -2.82 4.22 [-2.82]
1.17489e+16 3.8375e+18 11854300000000.0 83676900000000.0 6944960000000.0 27328100000.0 715048000.0 811307000000.0 8191670000000.0 2407760000000.0 -2.8 4.217 [-2.8]
1.17489e+16 3.6466e+18 11786600000000.0 79478500000000.0 6220820000000.0 22169600000.0 556126000.0 812038000000.0 7879810000000.0 2237940000000.0 -2.78 4.214 [-2.78]
1.17489e+16 3.46529e+18 11715300000000.0 75453400000000.0 5565190000000.0 17946100000.0 431729000.0 812790000000.0 7572650000000.0 2077260000000.0 -2.76 4.211 [-2.76]
1.17489e+16 3.29317e+18 11640700000000.0 71598900000000.0 4972680000000.0 14496500000.0 334574000.0 813583000000.0 7271060000000.0 1925580000000.0 -2.74 4.207 [-2.74]
1.17489e+16 3.12971e+18 11562600000000.0 67908300000000.0 4437690000000.0 11684300000.0 258819000.0 814418000000.0 6975430000000.0 1782590000000.0 -2.72 4.204 [-2.72]
1.17489e+16 2.97446e+18 11481100000000.0 64376700000000.0 3955300000000.0 9396690000.0 199862000.0 815305000000.0 6686190000000.0 1648060000000.0 -2.7 4.201 [-2.7]
1.17489e+16 2.82701e+18 11396100000000.0 60999200000000.0 3520920000000.0 7539990000.0 154066000.0 816242000000.0 6403720000000.0 1521690000000.0 -2.68 4.198 [-2.68]
1.17489e+16 2.68697e+18 11307800000000.0 57771100000000.0 3130330000000.0 6036460000.0 118560000.0 817224000000.0 6128340000000.0 1403190000000.0 -2.66 4.195 [-2.66]
1.17489e+16 2.55397e+18 11216000000000.0 54687400000000.0 2779630000000.0 4821630000.0 91082200.0 818247000000.0 5860230000000.0 1292260000000.0 -2.64 4.191 [-2.64]
1.17489e+16 2.42765e+18 11120900000000.0 51743600000000.0 2465180000000.0 3842420000.0 69858000.0 819291000000.0 5599620000000.0 1188580000000.0 -2.62 4.188 [-2.62]
1.17489e+16 2.30767e+18 11022300000000.0 48934300000000.0 2183620000000.0 3054840000.0 53491300.0 820356000000.0 5346530000000.0 1091830000000.0 -2.6 4.185 [-2.6]
1.17489e+16 2.19371e+18 10920400000000.0 46255500000000.0 1931870000000.0 2422990000.0 40894500.0 821413000000.0 5101130000000.0 1001680000000.0 -2.58 4.182 [-2.58]
1.17489e+16 2.08543e+18 10815000000000.0 43701000000000.0 1707030000000.0 1917110000.0 31213000.0 822472000000.0 4863210000000.0 917811000000.0 -2.56 4.179 [-2.56]
1.17489e+16 1.98262e+18 10706500000000.0 41268600000000.0 1506600000000.0 1513290000.0 23789300.0 823463000000.0 4633130000000.0 839904000000.0 -2.54 4.176 [-2.54]
1.17489e+16 1.88502e+18 10595000000000.0 38954000000000.0 1328170000000.0 1191730000.0 18106400.0 824350000000.0 4410920000000.0 767640000000.0 -2.52 4.173 [-2.52]
1.17489e+16 1.79228e+18 10480100000000.0 36750600000000.0 1169470000000.0 936161000.0 0.0 825163000000.0 4196130000000.0 700712000000.0 -2.5 4.17 [-2.5]
1.17489e+16 1.70419e+18 10362100000000.0 34655100000000.0 1028550000000.0 733610000.0 0.0 825844000000.0 3988890000000.0 638815000000.0 -2.48 4.167 [-2.48]
1.17489e+16 1.62052e+18 10241100000000.0 32663400000000.0 903567000000.0 573480000.0 0.0 826367000000.0 3789100000000.0 581657000000.0 -2.46 4.164 [-2.46]
1.17489e+16 1.54103e+18 10117000000000.0 30771000000000.0 792866000000.0 447195000.0 0.0 826710000000.0 3596590000000.0 528949000000.0 -2.44 4.161 [-2.44]
1.17489e+16 1.46554e+18 9990140000000.0 28974600000000.0 694967000000.0 347876000.0 0.0 826820000000.0 3411370000000.0 480418000000.0 -2.42 4.158 [-2.42]
1.1749e+16 1.39382e+18 9860330000000.0 27269300000000.0 608479000000.0 269947000.0 0.0 826698000000.0 3233160000000.0 435797000000.0 -2.4 4.155 [-2.4]
1.1749e+16 1.32571e+18 9727950000000.0 25652800000000.0 532204000000.0 208985000.0 0.0 826259000000.0 3062060000000.0 394837000000.0 -2.38 4.152 [-2.38]
1.1749e+16 1.26095e+18 9592600000000.0 24119000000000.0 464961000000.0 161380000.0 0.0 825575000000.0 2897500000000.0 357279000000.0 -2.36 4.15 [-2.36]
1.1749e+16 1.19945e+18 9454830000000.0 22666300000000.0 405802000000.0 124330000.0 0.0 824531000000.0 2739710000000.0 322902000000.0 -2.34 4.147 [-2.34]
1.1749e+16 1.14104e+18 9314780000000.0 21291300000000.0 353823000000.0 95569400.0 0.0 823085000000.0 2588560000000.0 291483000000.0 -2.32 4.144 [-2.32]
1.1749e+16 1.08554e+18 9172340000000.0 19989600000000.0 308185000000.0 73290800.0 0.0 821266000000.0 2443720000000.0 262804000000.0 -2.3 4.141 [-2.3]
