# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH parameters
158489000000000.0 2.02026e+17 567292000000.0 17084400000000.0 8416360000000.0 458646000000.0 36476100000.0 25417800000.0 513360000000.0 805061000000.0 -3.46 [-3.46]
158489000000000.0 1.92062e+17 581038000000.0 16687200000000.0 7817530000000.0 391723000000.0 29953500000.0 27091400000.0 529100000000.0 800558000000.0 -3.44 [-3.44]
158489000000000.0 1.82594e+17 594405000000.0 16278700000000.0 7249350000000.0 334116000000.0 24563400000.0 28816300000.0 543909000000.0 793800000000.0 -3.42 [-3.42]
158489000000000.0 1.73598e+17 607367000000.0 15860700000000.0 6711560000000.0 284591000000.0 20114800000.0 30588400000.0 557675000000.0 784837000000.0 -3.4 [-3.4]
158489000000000.0 1.65048e+17 619901000000.0 15434800000000.0 6203660000000.0 242069000000.0 16447900000.0 32403400000.0 570294000000.0 773738000000.0 -3.38 [-3.38]
158489000000000.0 1.56935e+17 631968000000.0 15003400000000.0 5725770000000.0 205655000000.0 13433200000.0 34253800000.0 581665000000.0 760639000000.0 -3.36 [-3.36]
158489000000000.0 1.49211e+17 643581000000.0 14566800000000.0 5275820000000.0 174427000000.0 10951400000.0 36140600000.0 591718000000.0 745568000000.0 -3.34 [-3.34]
158489000000000.0 1.4187e+17 654707000000.0 14127000000000.0 4853770000000.0 147723000000.0 8914290000.0 38056100000.0 600378000000.0 728697000000.0 -3.32 [-3.32]
158489000000000.0 1.34882e+17 665349000000.0 13684800000000.0 4458130000000.0 124889000000.0 7242510000.0 39998600000.0 607596000000.0 710123000000.0 -3.3 [-3.3]
158489000000000.0 1.28249e+17 675457000000.0 13243100000000.0 4089150000000.0 105448000000.0 5876370000.0 41956500000.0 613320000000.0 690110000000.0 -3.28 [-3.28]
158489000000000.0 1.21944e+17 685041000000.0 12802400000000.0 3745200000000.0 88895400000.0 4760060000.0 43928300000.0 617531000000.0 668780000000.0 -3.26 [-3.26]
158489000000000.0 1.1595e+17 694091000000.0 12363900000000.0 3425210000000.0 74822400000.0 3849350000.0 45909200000.0 620219000000.0 646314000000.0 -3.24 [-3.24]
158489000000000.0 1.10251e+17 702601000000.0 11928900000000.0 3128100000000.0 62875800000.0 3107540000.0 47894700000.0 621390000000.0 622895000000.0 -3.22 [-3.22]
158489000000000.0 1.04835e+17 710568000000.0 11498200000000.0 2852770000000.0 52750900000.0 2504400000.0 49880200000.0 621067000000.0 598712000000.0 -3.2 [-3.2]
158489000000000.0 9.96857e+16 717988000000.0 11072900000000.0 2598090000000.0 44183100000.0 2014800000.0 51861900000.0 619280000000.0 573947000000.0 -3.18 [-3.18]
158489000000000.0 9.47907e+16 724859000000.0 10653900000000.0 2362950000000.0 36944800000.0 1618050000.0 53835700000.0 616076000000.0 548781000000.0 -3.16 [-3.16]
158489000000000.0 9.01374e+16 731184000000.0 10241800000000.0 2146230000000.0 30839700000.0 1297110000.0 55798100000.0 611510000000.0 523389000000.0 -3.14 [-3.14]
158489000000000.0 8.57139e+16 736962000000.0 9837400000000.0 1946830000000.0 25699000000.0 1037970000.0 57745800000.0 605647000000.0 497933000000.0 -3.12 [-3.12]
158489000000000.0 8.1509e+16 742197000000.0 9441270000000.0 1763680000000.0 21377900000.0 829096000.0 59675700000.0 598561000000.0 472568000000.0 -3.1 [-3.1]
158489000000000.0 7.75118e+16 746892000000.0 9053930000000.0 1595730000000.0 17751900000.0 661054000.0 61584800000.0 590329000000.0 447435000000.0 -3.08 [-3.08]
158489000000000.0 7.3712e+16 751052000000.0 8675810000000.0 1441980000000.0 14714600000.0 526110000.0 63470500000.0 581036000000.0 422663000000.0 -3.06 [-3.06]
158489000000000.0 7.01001e+16 754682000000.0 8307270000000.0 1301440000000.0 12174900000.0 417947000.0 65330400000.0 570768000000.0 398366000000.0 -3.04 [-3.04]
158489000000000.0 6.66667e+16 757788000000.0 7948620000000.0 1173190000000.0 10055200000.0 331414000.0 67161800000.0 559612000000.0 374647000000.0 -3.02 [-3.02]
158489000000000.0 6.34029e+16 760376000000.0 7600060000000.0 1056310000000.0 8289120000.0 262314000.0 68963100000.0 547655000000.0 351590000000.0 -3.0 [-3.0]
158489000000000.0 6.03021e+16 762462000000.0 7261990000000.0 950012000000.0 6820940000.0 207259000.0 70728200000.0 535011000000.0 329275000000.0 -2.98 [-2.98]
158489000000000.0 5.73622e+16 764050000000.0 6935220000000.0 853640000000.0 5604530000.0 163542000.0 72451600000.0 521796000000.0 307811000000.0 -2.96 [-2.96]
158489000000000.0 5.45604e+16 765144000000.0 6618060000000.0 765993000000.0 4594550000.0 128751000.0 74142300000.0 507998000000.0 287135000000.0 -2.94 [-2.94]
158489000000000.0 5.1897e+16 765754000000.0 6311380000000.0 686577000000.0 3759360000.0 101178000.0 75792700000.0 493744000000.0 267337000000.0 -2.92 [-2.92]
158489000000000.0 4.93652e+16 765888000000.0 6015190000000.0 614713000000.0 3070050000.0 79367300.0 77400400000.0 479114000000.0 248444000000.0 -2.9 [-2.9]
158489000000000.0 4.69585e+16 765555000000.0 5729420000000.0 549772000000.0 2502240000.0 62147000.0 78962900000.0 464182000000.0 230468000000.0 -2.88 [-2.88]
158489000000000.0 4.46647e+16 764757000000.0 5453250000000.0 491033000000.0 2034590000.0 48552000.0 80482900000.0 448970000000.0 213374000000.0 -2.86 [-2.86]
158489000000000.0 4.24958e+16 763526000000.0 5188780000000.0 438334000000.0 1652450000.0 37903000.0 81941700000.0 433695000000.0 197289000000.0 -2.84 [-2.84]
158489000000000.0 4.04283e+16 761848000000.0 4933660000000.0 390778000000.0 1338840000.0 29523400.0 83352300000.0 418271000000.0 182075000000.0 -2.82 [-2.82]
158489000000000.0 3.84628e+16 759742000000.0 4688450000000.0 348019000000.0 1082560000.0 22956900.0 84706300000.0 402807000000.0 167759000000.0 -2.8 [-2.8]
158489000000000.0 3.65898e+16 757204000000.0 4452380000000.0 309542000000.0 873204000.0 17812100.0 86004900000.0 387312000000.0 154291000000.0 -2.78 [-2.78]
158489000000000.0 3.48138e+16 754267000000.0 4226480000000.0 275110000000.0 703176000.0 13804000.0 87235200000.0 371929000000.0 141711000000.0 -2.76 [-2.76]
158489000000000.0 3.31254e+16 750929000000.0 4009900000000.0 244262000000.0 565088000.0 10680400.0 88398500000.0 356659000000.0 129959000000.0 -2.74 [-2.74]
158489000000000.0 3.15203e+16 747200000000.0 3802420000000.0 216657000000.0 453168000.0 8250230.0 89491700000.0 341543000000.0 119004000000.0 -2.72 [-2.72]
158489000000000.0 2.99942e+16 743090000000.0 3603790000000.0 191982000000.0 362650000.0 6362990.0 90511300000.0 326619000000.0 108812000000.0 -2.7 [-2.7]
158489000000000.0 2.85433e+16 738607000000.0 3413780000000.0 169951000000.0 289596000.0 4899860.0 91453400000.0 311923000000.0 99351400000.0 -2.68 [-2.68]
158489000000000.0 2.71637e+16 733762000000.0 3232140000000.0 150302000000.0 230762000.0 3767460.0 92314600000.0 297487000000.0 90585700000.0 -2.66 [-2.66]
158489000000000.0 2.5852e+16 728565000000.0 3058610000000.0 132796000000.0 183484000.0 2892500.0 93091200000.0 283339000000.0 82479900000.0 -2.64 [-2.64]
158489000000000.0 2.46079e+16 723043000000.0 2893360000000.0 117248000000.0 145634000.0 2218650.0 93777400000.0 269542000000.0 75014900000.0 -2.62 [-2.62]
158489000000000.0 2.34188e+16 717152000000.0 2734880000000.0 103367000000.0 115243000.0 1697740.0 94377600000.0 256004000000.0 68104600000.0 -2.6 [-2.6]
158489000000000.0 2.22911e+16 710956000000.0 2584170000000.0 91067500000.0 91029900.0 1298030.0 94880900000.0 242859000000.0 61764600000.0 -2.58 [-2.58]
158489000000000.0 2.12185e+16 704445000000.0 2440530000000.0 80155600000.0 71742900.0 991109.0 95287900000.0 230084000000.0 55943100000.0 -2.56 [-2.56]
158489000000000.0 2.01986e+16 697631000000.0 2303750000000.0 70486200000.0 56416800.0 755828.0 95594800000.0 217695000000.0 50607600000.0 -2.54 [-2.54]
158489000000000.0 1.92287e+16 690523000000.0 2173560000000.0 61926000000.0 44264900.0 0.0 95800200000.0 205703000000.0 45724900000.0 -2.52 [-2.52]
158489000000000.0 1.83061e+16 683131000000.0 2049710000000.0 54355100000.0 34652100.0 0.0 95902500000.0 194117000000.0 41263900000.0 -2.5 [-2.5]
158489000000000.0 1.74287e+16 675466000000.0 1931960000000.0 47666500000.0 27065800.0 0.0 95900000000.0 182945000000.0 37194500000.0 -2.48 [-2.48]
158489000000000.0 1.65939e+16 667535000000.0 1820060000000.0 41762000000.0 21091900.0 0.0 95793100000.0 172187000000.0 33487500000.0 -2.46 [-2.46]
158489000000000.0 1.57998e+16 659353000000.0 1713790000000.0 36556100000.0 16399600.0 0.0 95580000000.0 161852000000.0 30116300000.0 -2.44 [-2.44]
