#depth	Te	cC/dT	dt/dr	d^2T/dr^2
4.84240e+25	2.8187e+04	7.89e-38	-9.31e-24	3.35e-48
5.01816e+25	2.8160e+04	7.89e-38	-1.61e-23	-4.09e-48
5.17676e+25	2.8145e+04	7.89e-38	-9.94e-24	4.11e-48
5.31982e+25	2.8128e+04	7.89e-38	-1.23e-23	-1.75e-48
5.44884e+25	2.8116e+04	7.89e-38	-9.84e-24	2.02e-48
5.56517e+25	2.8101e+04	7.89e-38	-1.33e-23	-3.18e-48
5.67003e+25	2.8093e+04	7.89e-38	-8.40e-24	4.97e-48
5.76455e+25	2.8081e+04	7.89e-38	-1.32e-23	-5.40e-48
5.84973e+25	2.8073e+04	7.89e-38	-1.02e-23	3.82e-48
5.92648e+25	2.8062e+04	7.89e-38	-1.48e-23	-6.33e-48
5.99717e+25	2.8058e+04	7.90e-38	-6.30e-24	1.23e-47
6.06584e+25	2.8044e+04	7.90e-38	-2.00e-23	-2.00e-47
6.13455e+25	2.8040e+04	7.90e-38	-6.17e-24	2.02e-47
6.20331e+25	2.8025e+04	7.90e-38	-2.15e-23	-2.23e-47
6.27210e+25	2.8025e+04	7.90e-38	-2.49e-25	3.09e-47
6.34094e+25	2.8005e+04	7.90e-38	-2.90e-23	-4.17e-47
6.40982e+25	2.8013e+04	7.90e-38	1.18e-23	5.91e-47
6.47875e+25	2.7980e+04	7.89e-38	-4.82e-23	-8.70e-47
6.54771e+25	2.7986e+04	7.90e-38	8.37e-24	8.21e-47
6.60130e+25	2.7984e+04	7.90e-38	-5.09e-24	-3.52e-47
6.60130e+25	2.7984e+04	7.90e-38	-5.09e-24	0.00e+00
7.02951e+22	2.9469e+04	8.81e-38
4.21771e+23	2.9256e+04	8.82e-38	-3.78e-22
1.82767e+24	2.8863e+04	8.85e-38	-1.75e-22	9.05e-47
5.43246e+24	2.8555e+04	8.83e-38	-6.22e-23	2.27e-47
1.03687e+25	2.8335e+04	8.80e-38	-4.48e-23	3.53e-48
1.50613e+25	2.8192e+04	8.77e-38	-3.19e-23	2.88e-48
1.93321e+25	2.8090e+04	8.76e-38	-2.51e-23	1.66e-48
2.32138e+25	2.8009e+04	8.74e-38	-2.18e-23	9.04e-49
2.67364e+25	2.7944e+04	8.73e-38	-1.95e-23	6.85e-49
2.99294e+25	2.7901e+04	8.73e-38	-1.41e-23	1.78e-48
3.28209e+25	2.7846e+04	8.72e-38	-2.00e-23	-2.16e-48
3.54372e+25	2.7811e+04	8.72e-38	-1.41e-23	2.36e-48
3.78027e+25	2.7772e+04	8.72e-38	-1.72e-23	-1.34e-48
3.99406e+25	2.7747e+04	8.72e-38	-1.23e-23	2.39e-48
4.18718e+25	2.7717e+04	8.71e-38	-1.67e-23	-2.40e-48
4.36155e+25	2.7699e+04	8.72e-38	-1.05e-23	3.75e-48
4.51893e+25	2.7675e+04	8.71e-38	-1.66e-23	-4.10e-48
4.66093e+25	2.7667e+04	8.72e-38	-5.76e-24	8.05e-48
4.78904e+25	2.7639e+04	8.71e-38	-2.27e-23	-1.40e-47
4.90456e+25	2.7633e+04	8.72e-38	-5.61e-24	1.56e-47
5.00871e+25	2.7617e+04	8.72e-38	-1.66e-23	-1.12e-47
5.10260e+25	2.7609e+04	8.72e-38	-8.18e-24	9.48e-48
5.18721e+25	2.7597e+04	8.72e-38	-1.53e-23	-8.88e-48
5.26347e+25	2.7591e+04	8.72e-38	-8.75e-24	9.06e-48
5.33218e+25	2.7579e+04	8.72e-38	-1.84e-23	-1.49e-47
5.39559e+25	2.7576e+04	8.72e-38	-4.48e-24	2.26e-47
5.45732e+25	2.7561e+04	8.72e-38	-2.38e-23	-3.12e-47
5.51909e+25	2.7561e+04	8.73e-38	-1.12e-24	3.67e-47
5.58091e+25	2.7542e+04	8.72e-38	-2.95e-23	-4.59e-47
5.64275e+25	2.7549e+04	8.73e-38	1.14e-23	6.61e-47
5.70465e+25	2.7518e+04	8.72e-38	-5.05e-23	-9.99e-47
5.76657e+25	2.7523e+04	8.73e-38	7.04e-24	9.29e-47
5.82852e+25	2.7505e+04	8.72e-38	-2.83e-23	-5.70e-47
5.89052e+25	2.7501e+04	8.73e-38	-6.49e-24	3.51e-47
5.93744e+25	2.7510e+04	8.73e-38	2.83e-23	1.09e-46
5.93744e+25	2.7510e+04	8.73e-38	2.83e-23	0.00e+00
6.33271e+22	2.8951e+04	9.76e-38
3.79963e+23	2.8750e+04	9.77e-38	-3.97e-22
1.64651e+24	2.8376e+04	9.79e-38	-1.85e-22	1.05e-46
4.96636e+24	2.8070e+04	9.77e-38	-6.63e-23	2.56e-47
9.47550e+24	2.7851e+04	9.73e-38	-4.95e-23	3.82e-48
1.36844e+25	2.7712e+04	9.70e-38	-3.49e-23	3.65e-48
1.75155e+25	2.7613e+04	9.67e-38	-2.70e-23	2.14e-48
2.09970e+25	2.7534e+04	9.66e-38	-2.39e-23	9.49e-49
2.41561e+25	2.7470e+04	9.64e-38	-2.11e-23	9.31e-49
2.70192e+25	2.7428e+04	9.64e-38	-1.56e-23	2.04e-48
2.96119e+25	2.7374e+04	9.63e-38	-2.17e-23	-2.50e-48
3.19576e+25	2.7340e+04	9.63e-38	-1.53e-23	2.88e-48
3.40784e+25	2.7303e+04	9.62e-38	-1.87e-23	-1.71e-48
3.59950e+25	2.7278e+04	9.62e-38	-1.35e-23	2.87e-48
3.77262e+25	2.7248e+04	9.62e-38	-1.81e-23	-2.78e-48
3.92892e+25	2.7231e+04	9.62e-38	-1.17e-23	4.31e-48
4.07000e+25	2.7208e+04	9.62e-38	-1.73e-23	-4.23e-48
4.19729e+25	2.7196e+04	9.62e-38	-1.00e-23	6.08e-48
4.31211e+25	2.7175e+04	9.62e-38	-1.87e-23	-8.02e-48
4.41565e+25	2.7165e+04	9.62e-38	-1.01e-23	8.77e-48
4.50899e+25	2.7152e+04	9.62e-38	-1.51e-23	-5.62e-48
4.59314e+25	2.7145e+04	9.63e-38	-9.22e-24	7.39e-48
4.66898e+25	2.7132e+04	9.62e-38	-1.78e-23	-1.20e-47
4.73733e+25	2.7125e+04	9.63e-38	-1.00e-23	1.20e-47
4.79890e+25	2.7115e+04	9.63e-38	-1.82e-23	-1.40e-47
4.85584e+25	2.7113e+04	9.63e-38	-2.47e-24	2.84e-47
4.91136e+25	2.7096e+04	9.62e-38	-3.06e-23	-5.06e-47
4.96692e+25	2.7100e+04	9.63e-38	5.55e-24	6.50e-47
5.02251e+25	2.7074e+04	9.62e-38	-4.63e-23	-9.33e-47
5.07813e+25	2.7073e+04	9.63e-38	-1.37e-24	8.08e-47
5.13378e+25	2.7067e+04	9.63e-38	-1.02e-23	-1.59e-47
5.18947e+25	2.7060e+04	9.63e-38	-1.25e-23	-4.12e-48
5.24520e+25	2.7046e+04	9.63e-38	-2.49e-23	-2.22e-47
5.30096e+25	2.7048e+04	9.63e-38	2.78e-24	4.97e-47
5.34224e+25	2.7043e+04	9.63e-38	-1.88e-23	-8.04e-47
5.34224e+25	2.7043e+04	9.63e-38	-1.88e-23	0.00e+00
5.70682e+22	2.8454e+04	1.08e-37
3.42409e+23	2.8263e+04	1.08e-37	-4.18e-22
1.48377e+24	2.7908e+04	1.08e-37	-1.95e-22	1.22e-46
4.54542e+24	2.7603e+04	1.08e-37	-7.09e-23	2.88e-47
8.66916e+24	2.7387e+04	1.07e-37	-5.48e-23	4.09e-48
1.24446e+25	2.7249e+04	1.07e-37	-3.82e-23	4.60e-48
1.58816e+25	2.7152e+04	1.07e-37	-2.96e-23	2.64e-48
1.90043e+25	2.7076e+04	1.07e-37	-2.57e-23	1.29e-48
2.18376e+25	2.7014e+04	1.06e-37	-2.28e-23	1.07e-48
