# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Te parameters
1.25892e+16 3.10431e+18 104832000000000.0 674364000000000.0 52098300000000.0 197735000000.0 4072360000.0 16819800000000.0 50427000000000.0 25880400000000.0 -2.86 3.96 [-2.86]
1.25892e+16 2.95553e+18 104598000000000.0 641108000000000.0 46508100000000.0 160841000000.0 3191870000.0 17132000000000.0 48423600000000.0 23802500000000.0 -2.84 3.958 [-2.84]
1.25892e+16 2.8139e+18 104306000000000.0 609150000000000.0 41477000000000.0 130570000000.0 2497480000.0 17423900000000.0 46409900000000.0 21854700000000.0 -2.82 3.956 [-2.82]
1.25892e+16 2.679e+18 103957000000000.0 578446000000000.0 36951900000000.0 105770000000.0 1950610000.0 17694500000000.0 44393500000000.0 20032600000000.0 -2.8 3.953 [-2.8]
1.25892e+16 2.55065e+18 103552000000000.0 549000000000000.0 32889800000000.0 85510500000.0 1521060000.0 17942600000000.0 42384700000000.0 18333700000000.0 -2.78 3.951 [-2.78]
1.25892e+16 2.42845e+18 103091000000000.0 520766000000000.0 29245700000000.0 68987300000.0 1184110000.0 18167300000000.0 40390200000000.0 16752700000000.0 -2.76 3.949 [-2.76]
1.25892e+16 2.31212e+18 102576000000000.0 493715000000000.0 25979600000000.0 55539100000.0 920274000.0 18368000000000.0 38417000000000.0 15284500000000.0 -2.74 3.946 [-2.74]
1.25892e+16 2.20137e+18 102009000000000.0 467813000000000.0 23055400000000.0 44616500000.0 714047000.0 18543500000000.0 36471800000000.0 13924200000000.0 -2.72 3.944 [-2.72]
1.25892e+16 2.09594e+18 101389000000000.0 443030000000000.0 20440100000000.0 35764200000.0 553136000.0 18693400000000.0 34560500000000.0 12666400000000.0 -2.7 3.942 [-2.7]
1.25892e+16 1.99556e+18 100719000000000.0 419332000000000.0 18103600000000.0 28605400000.0 427803000.0 18816900000000.0 32688500000000.0 11505700000000.0 -2.68 3.939 [-2.68]
1.25892e+16 1.89999e+18 99998900000000.0 396687000000000.0 16018300000000.0 22828700000.0 330349000.0 18913500000000.0 30860600000000.0 10436800000000.0 -2.66 3.937 [-2.66]
1.25892e+16 1.809e+18 99230100000000.0 375062000000000.0 14159200000000.0 18177600000.0 254703000.0 18982800000000.0 29081300000000.0 9454370000000.0 -2.64 3.935 [-2.64]
