# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Z, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[2]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Z parameters
158488000000000.0 1.05162e+20 1214850000.0 616493000000.0 21041000000000.0 2294950000000000.0 2.47656e+16 210264.0 152424000.0 6020820000.0 -5.0 -0.08 [-5.0,-0.08]
158488000000000.0 1.05421e+20 1326670000.0 675946000000.0 23092400000000.0 2530980000000000.0 2.7217e+16 231243.0 167701000.0 6627450000.0 -5.0 -0.04 [-5.0,-0.04]
158488000000000.0 1.0571e+20 1449000000.0 741541000000.0 25357400000000.0 2792330000000000.0 2.99198e+16 254412.0 184589000.0 7298580000.0 -5.0 -0.0 [-5.0,-0.0]
158488000000000.0 1.06033e+20 1582260000.0 813687000000.0 27852900000000.0 3081820000000000.0 3.29014e+16 280007.0 203265000.0 8041510000.0 -5.0 0.04 [-5.0,0.04]
158489000000000.0 1.06397e+20 1727120000.0 892990000000.0 30602300000000.0 3402860000000000.0 3.61946e+16 308308.0 223939000.0 8865020000.0 -5.0 0.08 [-5.0,0.08]
158489000000000.0 1.06802e+20 1884790000.0 980251000000.0 33634000000000.0 3758730000000000.0 3.98326e+16 339620.0 246843000.0 9778450000.0 -5.0 0.12 [-5.0,0.12]
158489000000000.0 1.07249e+20 2056230000.0 1076350000000.0 36980300000000.0 4153550000000000.0 4.38541e+16 374287.0 272238000.0 10792600000.0 -5.0 0.16 [-5.0,0.16]
158489000000000.0 1.07742e+20 2242080000.0 1182010000000.0 40670800000000.0 4591720000000000.0 4.83029e+16 412698.0 300422000.0 11919800000.0 -5.0 0.2 [-5.0,0.2]
158489000000000.0 1.08296e+20 2443660000.0 1298420000000.0 44749200000000.0 5078720000000000.0 5.32328e+16 455328.0 331760000.0 13175400000.0 -5.0 0.24 [-5.0,0.24]
158489000000000.0 1.08923e+20 2662200000.0 1426830000000.0 49264200000000.0 5620990000000000.0 5.87051e+16 502714.0 366672000.0 14576900000.0 -5.0 0.28 [-5.0,0.28]
158489000000000.0 1.09628e+20 2899390000.0 1568790000000.0 54272700000000.0 6225280000000000.0 6.47862e+16 555457.0 405624000.0 16143900000.0 -5.0 0.32 [-5.0,0.32]
158489000000000.0 1.10422e+20 3155910000.0 1725490000000.0 59826000000000.0 6900290000000000.0 7.15552e+16 614334.0 449223000.0 17901900000.0 -5.0 0.36 [-5.0,0.36]
158489000000000.0 1.11322e+20 3432900000.0 1898610000000.0 65992800000000.0 7655040000000000.0 7.91059e+16 680000.0 498006000.0 19874800000.0 -5.0 0.4 [-5.0,0.4]
